Thumbnail Url;Host Total Listings Count;Accommodates;Bathrooms;Beds;Bedrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Number of Reviews;Cancellation Policy;Price;Amenities Count;Room Type_Entire home/apt;Room Type_Private room;Room Type_Shared room;Property Type_Apartment;Property Type_Bed & Breakfast;Property Type_Boutique hotel;Property Type_Bungalow;Property Type_Camper/RV;Property Type_Casa particular;Property Type_Chalet;Property Type_Condominium;Property Type_Dorm;Property Type_Earth House;Property Type_Guest suite;Property Type_Guesthouse;Property Type_Hostel;Property Type_House;Property Type_Loft;Property Type_Other;Property Type_Serviced apartment;Property Type_Tent;Property Type_Timeshare;Property Type_Townhouse;Property Type_Villa;Neighbourhood Group Cleansed_Arganzuela;Neighbourhood Group Cleansed_Barajas;Neighbourhood Group Cleansed_Carabanchel;Neighbourhood Group Cleansed_Centro;Neighbourhood Group Cleansed_Chamartín;Neighbourhood Group Cleansed_Chamberí;Neighbourhood Group Cleansed_Ciudad Lineal;Neighbourhood Group Cleansed_Fuencarral - El Pardo;Neighbourhood Group Cleansed_Hortaleza;Neighbourhood Group Cleansed_Latina;Neighbourhood Group Cleansed_Moncloa - Aravaca;Neighbourhood Group Cleansed_Moratalaz;Neighbourhood Group Cleansed_Puente de Vallecas;Neighbourhood Group Cleansed_Retiro;Neighbourhood Group Cleansed_Salamanca;Neighbourhood Group Cleansed_San Blas - Canillejas;Neighbourhood Group Cleansed_Tetuán;Neighbourhood Group Cleansed_Usera;Neighbourhood Group Cleansed_Vicálvaro;Neighbourhood Group Cleansed_Villa de Vallecas;Neighbourhood Group Cleansed_Villaverde
https://a0.muscache.com/im/pictures/90803162/6a7bb51f_original.jpg?aki_policy=small;4.0;4.0;2.0;3.0;2.0;200.0;25.0;2.0;12.0;3.0;50.0;18.0;64.0;1.0;70.0;18.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/04c67a7b-cfdc-4fcc-aaaa-9e795273a568.jpg?aki_policy=small;1.0;3.0;1.0;2.0;1.0;200.0;0.0;2.0;10.0;4.0;120.0;2.0;5.0;2.0;65.0;21.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/77730945-57a7-4177-b85e-83911462a136.jpg?aki_policy=small;1.0;2.0;1.0;2.0;1.0;0.0;0.0;1.0;10.0;1.0;1125.0;0.0;2.0;0.0;15.0;10.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/c461146a-844d-4a78-91bb-f975b7ef8b71.jpg?aki_policy=small;1.0;1.0;1.5;1.0;1.0;0.0;10.0;1.0;0.0;15.0;60.0;0.0;27.0;0.0;25.0;17.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/71460971/8a5eed00_original.jpg?aki_policy=small;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;2.0;1125.0;0.0;11.0;2.0;18.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/92221511/c0a29080_original.jpg?aki_policy=small;1.0;1.0;1.0;1.0;1.0;0.0;13.0;1.0;0.0;2.0;31.0;4.0;49.0;1.0;31.0;10.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/af9d1a1b-f0ff-46c5-8b7e-16e886bb6ad7.jpg?aki_policy=small;2.0;3.0;1.0;2.0;2.0;100.0;30.0;2.0;10.0;2.0;1125.0;0.0;2.0;2.0;51.0;10.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/4545d420-5d17-40c1-9b6c-a5a3e3c1db72.jpg?aki_policy=small;1.0;4.0;1.0;3.0;1.0;0.0;15.0;1.0;0.0;2.0;730.0;9.0;68.0;2.0;50.0;12.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/661dd7f3-9a4a-4bd0-aa68-1bf2e3506956.jpg?aki_policy=small;40.0;4.0;1.0;3.0;2.0;700.0;90.0;1.0;0.0;3.0;1125.0;10.0;1.0;2.0;140.0;15.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/4291aa03-ae26-407e-be57-ad7cdd4a2ba1.jpg?aki_policy=small;1.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;5.0;1125.0;0.0;4.0;2.0;72.0;12.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/c1ded4a1-eb0e-4e8c-bf30-2f6d76040534.jpg?aki_policy=small;1.0;1.0;1.5;1.0;1.0;0.0;0.0;1.0;0.0;8.0;1125.0;28.0;0.0;2.0;26.0;13.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/f87c9698-55b4-4d2f-9252-c780f549e777.jpg?aki_policy=small;1.0;6.0;1.0;4.0;2.0;100.0;25.0;1.0;0.0;2.0;1125.0;9.0;11.0;1.0;110.0;14.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/84840941/2c1528ff_original.jpg?aki_policy=small;1.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;15.0;1.0;1125.0;0.0;0.0;0.0;20.0;9.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/eda01c9a-d75f-48e4-9941-aeebaab976fc.jpg?aki_policy=small;1.0;2.0;1.0;1.0;1.0;89.0;14.0;1.0;19.0;1.0;1125.0;30.0;1.0;0.0;33.0;7.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/72586933-1b03-4785-89a5-6972292fe219.jpg?aki_policy=small;5.0;4.0;1.0;2.0;1.0;350.0;0.0;2.0;10.0;1.0;1125.0;16.0;2.0;1.0;100.0;19.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
https://a0.muscache.com/im/pictures/434dc597-f22b-4b7c-9421-712076c0e695.jpg?aki_policy=small;3.0;2.0;1.0;1.0;1.0;100.0;15.0;1.0;15.0;4.0;1125.0;10.0;31.0;1.0;45.0;14.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
